,name,rating,Sector,Ownership,high_rating_values,bad_rating_factor,Review,Salary_comments,Interview_Q,Jobs,Job_link,Photos,Employee_count,Age
5058,Career Launcher,3.6,Education & Training , 28 years old ,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",NA,143,995,https://www.ambitionbox.com/interviews/career-launcher-interview-questions,17,https://www.ambitionbox.com/jobs/career-launcher-jobs,https://www.ambitionbox.com/photos/career-launcher-photos, 1k-5k Employees , 28 years old 
5059,Radiant Polymers,4.5,Auto Components , 35 years old ,"Skill Development / Learning, Job Security, Company Culture",NA,141,580,https://www.ambitionbox.com/interviews/radiant-polymers-interview-questions,1,https://www.ambitionbox.com/jobs/radiant-polymers-jobs,https://www.ambitionbox.com/photos/radiant-polymers-photos, 51-200 Employees , 35 years old 
5060,Masu Brakes,3.6,Auto Components , 42 years old ,"Promotions / Appraisal, Salary & Benefits, Job Security",NA,141,736,https://www.ambitionbox.com/interviews/masu-brakes-interview-questions,1,https://www.ambitionbox.com/jobs/masu-brakes-jobs,https://www.ambitionbox.com/photos/masu-brakes-photos, 51-200 Employees , 42 years old 
5061,Radiant Polymers,4.5,Auto Components , 35 years old ,"Skill Development / Learning, Job Security, Company Culture",NA,141,580,https://www.ambitionbox.com/interviews/radiant-polymers-interview-questions,1,https://www.ambitionbox.com/jobs/radiant-polymers-jobs,https://www.ambitionbox.com/photos/radiant-polymers-photos, 51-200 Employees , 35 years old 
5062,Hyderabad Industries,4.2,Industrial Machinery , 78 years old ,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,141,545,https://www.ambitionbox.com/interviews/hyderabad-industries-interview-questions,--,https://www.ambitionbox.com/jobs/hyderabad-industries-jobs,https://www.ambitionbox.com/photos/hyderabad-industries-photos, 1k-5k Employees , 78 years old 
5063,NSL Textiles,4.3,Fashion & Textile , 22 years old ,"Job Security, Skill Development / Learning, Work Satisfaction",NA,141,584,https://www.ambitionbox.com/interviews/nsl-textiles-hyderabad-interview-questions,--,https://www.ambitionbox.com/jobs/nsl-textiles-hyderabad-jobs,https://www.ambitionbox.com/photos/nsl-textiles-hyderabad-photos, 1k-5k Employees , 22 years old 
5064,Olive Bar & Kitchen,4.5,Hospitality , 24 years old ,"Job Security, Skill Development / Learning, Company Culture",NA,139,514,https://www.ambitionbox.com/interviews/olive-bar-and-kitchen-interview-questions,--,https://www.ambitionbox.com/jobs/olive-bar-and-kitchen-jobs,https://www.ambitionbox.com/photos/olive-bar-and-kitchen-photos, 201-500 Employees , 24 years old 
5065,Aditya Birla Money,3.7,201-500 Employees , 68 years old ,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",NA,139,751,https://www.ambitionbox.com/interviews/aditya-birla-money-interview-questions,--,https://www.ambitionbox.com/jobs/aditya-birla-money-jobs,https://www.ambitionbox.com/photos/aditya-birla-money-photos, Public , 68 years old 
5066,Dr Oetker,4.1,Food Processing , 133 years old ,"Work Life Balance, Company Culture, Job Security",NA,138,704,https://www.ambitionbox.com/interviews/dr-oetker-interview-questions,--,https://www.ambitionbox.com/jobs/dr-oetker-jobs,https://www.ambitionbox.com/photos/dr-oetker-photos, 201-500 Employees , 133 years old 
5067,Wingreens Farms,3.8,Power , 13 years old ,"Promotions / Appraisal, Work Satisfaction, Job Security",NA,138,721,https://www.ambitionbox.com/interviews/wingreens-farms-interview-questions,--,https://www.ambitionbox.com/jobs/wingreens-farms-jobs,https://www.ambitionbox.com/photos/wingreens-farms-photos, 51-200 Employees , 13 years old 
5068,Bhansali Engineering Polymers,3.2,Petrochemicals , Public ,"Promotions / Appraisal, Job Security, Company Culture",NA,136,702,https://www.ambitionbox.com/interviews/bhansali-engineering-polymers-interview-questions,4,https://www.ambitionbox.com/jobs/bhansali-engineering-polymers-jobs,https://www.ambitionbox.com/photos/bhansali-engineering-polymers-photos, 501-1k Employees , 40 years old 
5069,SAP-Concur,3.8,Software Product , 31 years old ,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",135,912,https://www.ambitionbox.com/interviews/sap-concur-interview-questions,--,https://www.ambitionbox.com/jobs/sap-concur-jobs,https://www.ambitionbox.com/photos/sap-concur-photos, 10k-50k Employees , 31 years old 
5070,ETV Network,3.8,Broadcasting , 29 years old ,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture",135,548,https://www.ambitionbox.com/interviews/etv-network-interview-questions,--,https://www.ambitionbox.com/jobs/etv-network-jobs,https://www.ambitionbox.com/photos/etv-network-photos, 5k-10k Employees (Global) , 29 years old 
5071,Lalitpur Power Generation,4.3,Power , 15 years old ,"Job Security, Work Life Balance, Company Culture",NA,134,662,https://www.ambitionbox.com/interviews/lalitpur-power-generation-company-interview-questions,--,https://www.ambitionbox.com/jobs/lalitpur-power-generation-company-jobs,https://www.ambitionbox.com/photos/lalitpur-power-generation-company-photos, 1k-5k Employees , 15 years old 
5072,Nova IVI Fertility,4.0,Healthcare , 13 years old ,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal,134,536,https://www.ambitionbox.com/interviews/nova-ivi-fertility-interview-questions,--,https://www.ambitionbox.com/jobs/nova-ivi-fertility-jobs,https://www.ambitionbox.com/photos/nova-ivi-fertility-photos, 501-1k Employees , 13 years old 
