,name,rating,Sector,Ownership,high_rating_values,bad_rating_factor,Review,Salary_comments,Interview_Q,Jobs,Job_link,Photos,Employee_count,Age
0,TCS,3.8,IT Services & Consulting , Public ,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",76k,8.7L,https://www.ambitionbox.com/interviews/tcs-interview-questions,1.1k,https://www.ambitionbox.com/jobs/tcs-jobs,https://www.ambitionbox.com/photos/tcs-photos, 1 Lakh+ Employees , 56 years old 
1,Accenture,4.0,IT Services & Consulting , Public ,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,47.6k,5.9L,https://www.ambitionbox.com/interviews/accenture-interview-questions,42.8k,https://www.ambitionbox.com/jobs/accenture-jobs,https://www.ambitionbox.com/photos/accenture-photos, 1 Lakh+ Employees , 35 years old 
2,Cognizant,3.9,IT Services & Consulting , Forbes Global 2000 ,Skill Development / Learning,Promotions / Appraisal,42.9k,5.7L,https://www.ambitionbox.com/interviews/cognizant-interview-questions,530,https://www.ambitionbox.com/jobs/cognizant-jobs,https://www.ambitionbox.com/photos/cognizant-photos, 1 Lakh+ Employees , 30 years old 
3,Wipro,3.8,IT Services & Consulting , Public ,Job Security,"Promotions / Appraisal, Salary & Benefits",40.8k,4.3L,https://www.ambitionbox.com/interviews/wipro-interview-questions,216,https://www.ambitionbox.com/jobs/wipro-jobs,https://www.ambitionbox.com/photos/wipro-photos, 1 Lakh+ Employees , 79 years old 
4,Capgemini,3.8,IT Services & Consulting , Public ,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",35.2k,4.3L,https://www.ambitionbox.com/interviews/capgemini-interview-questions,583,https://www.ambitionbox.com/jobs/capgemini-jobs,https://www.ambitionbox.com/photos/capgemini-photos, 1 Lakh+ Employees , 57 years old 
5,HDFC Bank,4.0,Banking , Public ,"Job Security, Skill Development / Learning",Promotions / Appraisal,34.3k,1.3L,https://www.ambitionbox.com/interviews/hdfc-bank-interview-questions,187,https://www.ambitionbox.com/jobs/hdfc-bank-jobs,https://www.ambitionbox.com/photos/hdfc-bank-photos, 1 Lakh+ Employees , 30 years old 
6,ICICI Bank,4.0,Banking , Public ,"Job Security, Skill Development / Learning, Company Culture",NA,34k,1.4L,https://www.ambitionbox.com/interviews/icici-bank-interview-questions,74,https://www.ambitionbox.com/jobs/icici-bank-jobs,https://www.ambitionbox.com/photos/icici-bank-photos, 1 Lakh+ Employees , 30 years old 
7,Infosys,3.8,IT Services & Consulting , Public ,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",33k,4.6L,https://www.ambitionbox.com/interviews/infosys-interview-questions,946,https://www.ambitionbox.com/jobs/infosys-jobs,https://www.ambitionbox.com/photos/infosys-photos, 1 Lakh+ Employees , 43 years old 
8,HCLTech,3.7,IT Services & Consulting , Public ,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",29.7k,3L,https://www.ambitionbox.com/interviews/hcl-technologies-interview-questions,143,https://www.ambitionbox.com/jobs/hcl-technologies-jobs,https://www.ambitionbox.com/photos/hcl-technologies-photos, 1 Lakh+ Employees , 33 years old 
9,Tech Mahindra,3.7,IT Services & Consulting , Public ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,28.2k,2.6L,https://www.ambitionbox.com/interviews/tech-mahindra-interview-questions,279,https://www.ambitionbox.com/jobs/tech-mahindra-jobs,https://www.ambitionbox.com/photos/tech-mahindra-photos, 1 Lakh+ Employees , 38 years old 
10,Genpact,3.9,IT Services & Consulting , Public ,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",26.7k,1.9L,https://www.ambitionbox.com/interviews/genpact-interview-questions,442,https://www.ambitionbox.com/jobs/genpact-jobs,https://www.ambitionbox.com/photos/genpact-photos, 1 Lakh+ Employees , 27 years old 
11,Axis Bank,3.9,Banking , Public ,Job Security,Promotions / Appraisal,22.3k,96.8k,https://www.ambitionbox.com/interviews/axis-bank-interview-questions,181,https://www.ambitionbox.com/jobs/axis-bank-jobs,https://www.ambitionbox.com/photos/axis-bank-photos, 50k-1 Lakh Employees , 31 years old 
12,Teleperformance,3.8,BPO , Forbes Global 2000 ,Promotions / Appraisal,NA,23k,85.9k,https://www.ambitionbox.com/interviews/teleperformance-interview-questions,301,https://www.ambitionbox.com/jobs/teleperformance-jobs,https://www.ambitionbox.com/photos/teleperformance-photos, 50k-1 Lakh Employees , 46 years old 
13,Concentrix Corporation,3.9,BPO , Public ,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",21.7k,1.1L,https://www.ambitionbox.com/interviews/concentrix-corporation-interview-questions,70,https://www.ambitionbox.com/jobs/concentrix-corporation-jobs,https://www.ambitionbox.com/photos/concentrix-corporation-photos, 50k-1 Lakh Employees , 41 years old 
14,Jio,4.0,Telecom , Public ,"Job Security, Skill Development / Learning",Promotions / Appraisal,20.3k,66.4k,https://www.ambitionbox.com/interviews/jio-interview-questions,159,https://www.ambitionbox.com/jobs/jio-jobs,https://www.ambitionbox.com/photos/jio-photos, 50k-1 Lakh Employees , 6 years old 
15,Amazon,4.1,Internet , Public ,"Company Culture, Salary & Benefits, Work Life Balance",NA,21.4k,1.2L,https://www.ambitionbox.com/interviews/amazon-interview-questions,122,https://www.ambitionbox.com/jobs/amazon-jobs,https://www.ambitionbox.com/photos/amazon-photos, 1 Lakh+ Employees , 30 years old 
16,IBM,4.1,IT Services & Consulting , Public ,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,19.8k,2.2L,https://www.ambitionbox.com/interviews/ibm-interview-questions,2.3k,https://www.ambitionbox.com/jobs/ibm-jobs,https://www.ambitionbox.com/photos/ibm-photos, 1 Lakh+ Employees , 113 years old 
17,Reliance Retail,4.0,Retail , 18 years old ,"Skill Development / Learning, Job Security",Promotions / Appraisal,19.4k,61.8k,https://www.ambitionbox.com/interviews/reliance-retail-interview-questions,156,https://www.ambitionbox.com/jobs/reliance-retail-jobs,https://www.ambitionbox.com/photos/reliance-retail-photos, 1 Lakh+ Employees , 18 years old 
18,HDB Financial Services,4.0,NBFC , 17 years old ,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,18.1k,49.5k,https://www.ambitionbox.com/interviews/hdb-financial-services-interview-questions,137,https://www.ambitionbox.com/jobs/hdb-financial-services-jobs,https://www.ambitionbox.com/photos/hdb-financial-services-photos, 1 Lakh+ Employees , 17 years old 
19,Larsen & Toubro Limited,4.1,Engineering & Construction , Public ,"Job Security, Skill Development / Learning",NA,16.4k,77.9k,https://www.ambitionbox.com/interviews/larsen-and-toubro-limited-interview-questions,101,https://www.ambitionbox.com/jobs/larsen-and-toubro-limited-jobs,https://www.ambitionbox.com/photos/larsen-and-toubro-limited-photos, 10k-50k Employees , 86 years old 
20,Vodafone Idea,4.2,Telecom , Public ,"Company Culture, Work Life Balance, Salary & Benefits",NA,14.1k,56.7k,https://www.ambitionbox.com/interviews/vodafone-idea-interview-questions,19,https://www.ambitionbox.com/jobs/vodafone-idea-jobs,https://www.ambitionbox.com/photos/vodafone-idea-photos, 5k-10k Employees , 6 years old 
21,BYJU'S,3.1,EdTech , Indian Unicorn ,"Job Security, Work Life Balance, Company Culture",NA,15.3k,60.1k,https://www.ambitionbox.com/interviews/byjus-interview-questions,8,https://www.ambitionbox.com/jobs/byjus-jobs,https://www.ambitionbox.com/photos/byjus-photos, 10k-50k Employees , 13 years old 
22,Kotak Mahindra Bank,3.8,Banking , Public ,Job Security,Promotions / Appraisal,14.2k,78.2k,https://www.ambitionbox.com/interviews/kotak-mahindra-bank-interview-questions,11,https://www.ambitionbox.com/jobs/kotak-mahindra-bank-jobs,https://www.ambitionbox.com/photos/kotak-mahindra-bank-photos, 50k-1 Lakh Employees , 21 years old 
23,Deloitte,3.9,Management Consulting , 179 years old ,"Job Security, Skill Development / Learning, Salary & Benefits",NA,14.5k,1.8L,https://www.ambitionbox.com/interviews/deloitte-interview-questions,446,https://www.ambitionbox.com/jobs/deloitte-jobs,https://www.ambitionbox.com/photos/deloitte-photos, 1 Lakh+ Employees , 179 years old 
24,Reliance Industries,4.1,Oil & Gas , Public ,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,13.7k,65.7k,https://www.ambitionbox.com/interviews/reliance-industries-interview-questions,38,https://www.ambitionbox.com/jobs/reliance-industries-jobs,https://www.ambitionbox.com/photos/reliance-industries-photos, 1 Lakh+ Employees , 47 years old 
25,iEnergizer,4.7,BPO , 24 years old ,"Company Culture, Skill Development / Learning, Job Security",NA,15.7k,19.3k,https://www.ambitionbox.com/interviews/ienergizer-interview-questions,88,https://www.ambitionbox.com/jobs/ienergizer-jobs,https://www.ambitionbox.com/photos/ienergizer-photos, 10k-50k Employees , 24 years old 
26,Bharti Airtel,4.1,Telecom , Public ,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,12.1k,44.2k,https://www.ambitionbox.com/interviews/bharti-airtel-interview-questions,152,https://www.ambitionbox.com/jobs/bharti-airtel-jobs,https://www.ambitionbox.com/photos/bharti-airtel-photos, 10k-50k Employees , 29 years old 
27,Tata Motors,4.2,Automobile , Public ,"Job Security, Skill Development / Learning, Company Culture",NA,10.4k,39.9k,https://www.ambitionbox.com/interviews/tata-motors-interview-questions,182,https://www.ambitionbox.com/jobs/tata-motors-jobs,https://www.ambitionbox.com/photos/tata-motors-photos, 10k-50k Employees , 79 years old 
28,WNS,3.5,BPO , 28 years old ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,9.8k,54.8k,https://www.ambitionbox.com/interviews/wns-interview-questions,71,https://www.ambitionbox.com/jobs/wns-jobs,https://www.ambitionbox.com/photos/wns-photos, 10k-50k Employees , 28 years old 
29,Flipkart,4.1,Internet , Public ,"Skill Development / Learning, Company Culture, Job Security",NA,9.5k,46.5k,https://www.ambitionbox.com/interviews/flipkart-interview-questions,209,https://www.ambitionbox.com/jobs/flipkart-jobs,https://www.ambitionbox.com/photos/flipkart-photos, 10k-50k Employees , 17 years old 
30,IndusInd Bank,3.7,Banking , Public ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,9.2k,46.3k,https://www.ambitionbox.com/interviews/indusind-bank-interview-questions,153,https://www.ambitionbox.com/jobs/indusind-bank-jobs,https://www.ambitionbox.com/photos/indusind-bank-photos, 10k-50k Employees , 30 years old 
31,Ernst & Young,3.6,Management Consulting , 22 years old ,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",9.1k,1.3L,https://www.ambitionbox.com/interviews/ernst-young-interview-questions,214,https://www.ambitionbox.com/jobs/ernst-young-jobs,https://www.ambitionbox.com/photos/ernst-young-photos, 50k-1 Lakh Employees , 22 years old 
32,AU Small Finance Bank,4.4,Banking , Fortune India 500 ,"Skill Development / Learning, Job Security, Company Culture",NA,8.8k,19.1k,https://www.ambitionbox.com/interviews/au-small-finance-bank-interview-questions,55,https://www.ambitionbox.com/jobs/au-small-finance-bank-jobs,https://www.ambitionbox.com/photos/au-small-finance-bank-photos, 10k-50k Employees , 28 years old 
33,Mahindra & Mahindra,4.2,Automobile , Public ,"Job Security, Skill Development / Learning, Company Culture",NA,8.6k,36.6k,https://www.ambitionbox.com/interviews/mahindra-and-mahindra-interview-questions,15,https://www.ambitionbox.com/jobs/mahindra-and-mahindra-jobs,https://www.ambitionbox.com/photos/mahindra-and-mahindra-photos, 1 Lakh+ Employees , 79 years old 
34,Infosys BPM,3.8,BPO , 22 years old ,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",8.3k,60.7k,https://www.ambitionbox.com/interviews/infosys-bpm-interview-questions,213,https://www.ambitionbox.com/jobs/infosys-bpm-jobs,https://www.ambitionbox.com/photos/infosys-bpm-photos, 10k-50k Employees , 22 years old 
35,DXC Technology,3.8,IT Services & Consulting , Public ,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",8.3k,79.9k,https://www.ambitionbox.com/interviews/dxc-technology-interview-questions,63,https://www.ambitionbox.com/jobs/dxc-technology-jobs,https://www.ambitionbox.com/photos/dxc-technology-photos, 10k-50k Employees , 7 years old 
36,IDFC FIRST Bank,4.0,Banking , Public ,"Salary & Benefits, Skill Development / Learning, Job Security",NA,8.5k,41.8k,https://www.ambitionbox.com/interviews/idfc-first-bank-interview-questions,57,https://www.ambitionbox.com/jobs/idfc-first-bank-jobs,https://www.ambitionbox.com/photos/idfc-first-bank-photos, 10k-50k Employees , 6 years old 
37,Conneqt Business Solutions,3.7,BPO , 22 years old ,"Promotions / Appraisal, Salary & Benefits",NA,7.9k,26.1k,https://www.ambitionbox.com/interviews/conneqt-business-solutions-interview-questions,424,https://www.ambitionbox.com/jobs/conneqt-business-solutions-jobs,https://www.ambitionbox.com/photos/conneqt-business-solutions-photos, 10k-50k Employees , 22 years old 
38,LTIMindtree,3.6,IT Services & Consulting , Public ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,8.3k,99.9k,https://www.ambitionbox.com/interviews/mindtree-interview-questions,326,https://www.ambitionbox.com/jobs/mindtree-jobs,https://www.ambitionbox.com/photos/mindtree-photos, 50k-1 Lakh Employees , 27 years old 
39,HDFC Life,4.1,Insurance , Public ,"Skill Development / Learning, Job Security, Company Culture",NA,7.7k,29.9k,https://www.ambitionbox.com/interviews/hdfc-life-interview-questions,9,https://www.ambitionbox.com/jobs/hdfc-life-jobs,https://www.ambitionbox.com/photos/hdfc-life-photos, 10k-50k Employees , 24 years old 
40,Bajaj Finserv,4.1,Financial Services , Public ,"Salary & Benefits, Skill Development / Learning, Job Security",NA,7.7k,26.3k,https://www.ambitionbox.com/interviews/bajaj-finserv-interview-questions,5,https://www.ambitionbox.com/jobs/bajaj-finserv-jobs,https://www.ambitionbox.com/photos/bajaj-finserv-photos, 50k-1 Lakh Employees , 17 years old 
41,Mphasis,3.5,IT Services & Consulting , Public ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,7.1k,65.8k,https://www.ambitionbox.com/interviews/mphasis-interview-questions,184,https://www.ambitionbox.com/jobs/mphasis-jobs,https://www.ambitionbox.com/photos/mphasis-photos, 10k-50k Employees , 26 years old 
42,PwC,3.6,Management Consulting , Conglomerate ,Job Security,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",7.3k,85.8k,https://www.ambitionbox.com/interviews/pwc-interview-questions,1.1k,https://www.ambitionbox.com/jobs/pwc-jobs,https://www.ambitionbox.com/photos/pwc-photos, 10k-50k Employees , 144 years old 
43,HSBC Group,4.1,Banking , Forbes Global 2000 ,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,6.8k,59.6k,https://www.ambitionbox.com/interviews/hsbc-group-interview-questions,25,https://www.ambitionbox.com/jobs/hsbc-group-jobs,https://www.ambitionbox.com/photos/hsbc-group-photos, 10k-50k Employees , 159 years old 
44,Startek,3.3,BPO , Public ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,6.6k,22.6k,https://www.ambitionbox.com/interviews/startek-interview-questions,106,https://www.ambitionbox.com/jobs/startek-jobs,https://www.ambitionbox.com/photos/startek-photos, 10k-50k Employees , 7 years old 
45,Hinduja Global Solutions,4.0,IT Services & Consulting , Public ,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",6.5k,24.5k,https://www.ambitionbox.com/interviews/hinduja-global-solutions-interview-questions,49,https://www.ambitionbox.com/jobs/hinduja-global-solutions-jobs,https://www.ambitionbox.com/photos/hinduja-global-solutions-photos, 10k-50k Employees , 24 years old 
46,Samsung,4.1,Consumer Electronics & Appliances , Public ,"Salary & Benefits, Job Security, Skill Development / Learning",NA,6.5k,27.4k,https://www.ambitionbox.com/interviews/samsung-interview-questions,19,https://www.ambitionbox.com/jobs/samsung-jobs,https://www.ambitionbox.com/photos/samsung-photos, 50k-1 Lakh Employees , 55 years old 
47,Ericsson,4.3,Telecom , Forbes Global 2000 ,"Company Culture, Work Life Balance, Job Security",NA,6.4k,43.3k,https://www.ambitionbox.com/interviews/ericsson-interview-questions,419,https://www.ambitionbox.com/jobs/ericsson-jobs,https://www.ambitionbox.com/photos/ericsson-photos, 10k-50k Employees , 148 years old 
48,Maruti Suzuki,4.2,Automobile , Public ,"Job Security, Salary & Benefits, Skill Development / Learning",NA,6.6k,25.7k,https://www.ambitionbox.com/interviews/maruti-suzuki-interview-questions,5,https://www.ambitionbox.com/jobs/maruti-suzuki-jobs,https://www.ambitionbox.com/photos/maruti-suzuki-photos, 10k-50k Employees , 43 years old 
49,Shriram Finance,4.1,NBFC , Public ,"Job Security, Skill Development / Learning, Work Life Balance",NA,6.3k,13.7k,https://www.ambitionbox.com/interviews/shriram-finance-interview-questions,12,https://www.ambitionbox.com/jobs/shriram-finance-jobs,https://www.ambitionbox.com/photos/shriram-finance-photos, 50k-1 Lakh Employees , 45 years old 
50,Asian Paints,4.1,Chemicals , Public ,"Salary & Benefits, Skill Development / Learning, Job Security",NA,6.4k,22.1k,https://www.ambitionbox.com/interviews/asian-paints-interview-questions,22,https://www.ambitionbox.com/jobs/asian-paints-jobs,https://www.ambitionbox.com/photos/asian-paints-photos, 5k-10k Employees , 82 years old 
51,Yes Bank,3.9,Banking , Public ,"Salary & Benefits, Work Life Balance",NA,6.4k,40.9k,https://www.ambitionbox.com/interviews/yes-bank-interview-questions,36,https://www.ambitionbox.com/jobs/yes-bank-jobs,https://www.ambitionbox.com/photos/yes-bank-photos, 10k-50k Employees , 20 years old 
52,Cipla,4.1,Pharma , Public ,"Skill Development / Learning, Salary & Benefits, Work Life Balance",NA,6.1k,23.8k,https://www.ambitionbox.com/interviews/cipla-interview-questions,77,https://www.ambitionbox.com/jobs/cipla-jobs,https://www.ambitionbox.com/photos/cipla-photos, 10k-50k Employees , 89 years old 
53,Dr. Reddy's,4.2,Pharma , Public ,"Skill Development / Learning, Company Culture, Work Life Balance",NA,6k,23.9k,https://www.ambitionbox.com/interviews/dr-dot-reddys-interview-questions,99,https://www.ambitionbox.com/jobs/dr-dot-reddys-jobs,https://www.ambitionbox.com/photos/dr-dot-reddys-photos, 10k-50k Employees , 40 years old 
54,Sutherland Global Services,3.7,IT Services & Consulting , 38 years old ,"Promotions / Appraisal, Salary & Benefits",NA,6k,28k,https://www.ambitionbox.com/interviews/sutherland-global-services-interview-questions,225,https://www.ambitionbox.com/jobs/sutherland-global-services-jobs,https://www.ambitionbox.com/photos/sutherland-global-services-photos, 10k-50k Employees , 38 years old 
55,Paytm,3.4,FinTech , Public ,"Job Security, Promotions / Appraisal, Company Culture",NA,6.2k,31.8k,https://www.ambitionbox.com/interviews/paytm-interview-questions,136,https://www.ambitionbox.com/jobs/paytm-jobs,https://www.ambitionbox.com/photos/paytm-photos, 10k-50k Employees , 14 years old 
56,Bandhan Bank,3.8,Banking , Public ,Job Security,"Promotions / Appraisal, Work Satisfaction",6.1k,20.1k,https://www.ambitionbox.com/interviews/bandhan-bank-interview-questions,23,https://www.ambitionbox.com/jobs/bandhan-bank-jobs,https://www.ambitionbox.com/photos/bandhan-bank-photos, 50k-1 Lakh Employees , 23 years old 
57,UltraTech Cement,4.2,Building Material , Public ,"Job Security, Skill Development / Learning, Company Culture",NA,5.9k,21.4k,https://www.ambitionbox.com/interviews/ultratech-cement-interview-questions,6,https://www.ambitionbox.com/jobs/ultratech-cement-jobs,https://www.ambitionbox.com/photos/ultratech-cement-photos, 10k-50k Employees , 41 years old 
58,EXL Service,3.8,Analytics & KPO , 25 years old ,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",6.1k,38.2k,https://www.ambitionbox.com/interviews/exl-service-interview-questions,59,https://www.ambitionbox.com/jobs/exl-service-jobs,https://www.ambitionbox.com/photos/exl-service-photos, 10k-50k Employees , 25 years old 
59,NTT DATA,4.0,IT Services & Consulting , 36 years old ,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,6k,51.6k,https://www.ambitionbox.com/interviews/ntt-data-interview-questions,112,https://www.ambitionbox.com/jobs/ntt-data-jobs,https://www.ambitionbox.com/photos/ntt-data-photos, 10k-50k Employees , 36 years old 
60,ICICI Prudential Life Insurance,4.1,Insurance , Public ,"Job Security, Skill Development / Learning, Salary & Benefits",NA,5.6k,21.9k,https://www.ambitionbox.com/interviews/icici-prudential-life-insurance-interview-questions,76,https://www.ambitionbox.com/jobs/icici-prudential-life-insurance-jobs,https://www.ambitionbox.com/photos/icici-prudential-life-insurance-photos, 10k-50k Employees , 24 years old 
61,Bajaj Finance,4.1,NBFC , 37 years old ,"Salary & Benefits, Skill Development / Learning, Job Security",NA,5.7k,19.8k,https://www.ambitionbox.com/interviews/bajaj-fainance-interview-questions,11,https://www.ambitionbox.com/jobs/bajaj-fainance-jobs,https://www.ambitionbox.com/photos/bajaj-fainance-photos, 10k-50k Employees , 37 years old 
62,Jana Small Finance Bank,3.9,Banking , Public ,Promotions / Appraisal,NA,5.5k,14.7k,https://www.ambitionbox.com/interviews/jana-small-finance-bank-interview-questions,57,https://www.ambitionbox.com/jobs/jana-small-finance-bank-jobs,https://www.ambitionbox.com/photos/jana-small-finance-bank-photos, 10k-50k Employees , 18 years old 
63,Lupin,4.1,Pharma , Public ,"Skill Development / Learning, Company Culture, Work Life Balance",NA,5.4k,22.3k,https://www.ambitionbox.com/interviews/lupin-interview-questions,62,https://www.ambitionbox.com/jobs/lupin-jobs,https://www.ambitionbox.com/photos/lupin-photos, 1k-5k Employees , 56 years old 
64,Indian Army,4.7,Defence & Aerospace , Public ,"Job Security, Company Culture, Work Satisfaction",NA,4.9k,9.7k,https://www.ambitionbox.com/interviews/indian-army-interview-questions,--,https://www.ambitionbox.com/jobs/indian-army-jobs,https://www.ambitionbox.com/photos/indian-army-photos, 1 Lakh+ Employees , 129 years old 
65,HCL Group,3.8,IT Services & Consulting , 48 years old ,Job Security,"Promotions / Appraisal, Salary & Benefits",5.1k,65.6k,https://www.ambitionbox.com/interviews/hcl-interview-questions,--,https://www.ambitionbox.com/jobs/hcl-jobs,https://www.ambitionbox.com/photos/hcl-photos, 1 Lakh+ Employees , 48 years old 
66,Quess,4.0,BPO , Public ,Work Life Balance,Promotions / Appraisal,5.7k,25.2k,https://www.ambitionbox.com/interviews/quess-interview-questions,46,https://www.ambitionbox.com/jobs/quess-jobs,https://www.ambitionbox.com/photos/quess-photos, 1k-5k Employees , 17 years old 
67,Tata Steel,4.2,Iron & Steel , Public ,"Job Security, Skill Development / Learning, Work Life Balance",NA,6.1k,28.1k,https://www.ambitionbox.com/interviews/tata-steel-interview-questions,21,https://www.ambitionbox.com/jobs/tata-steel-jobs,https://www.ambitionbox.com/photos/tata-steel-photos, 1 Lakh+ Employees , 117 years old 
68,L&T Infotech,3.8,IT Services & Consulting , Public ,Job Security,"Promotions / Appraisal, Salary & Benefits",5.2k,72.7k,https://www.ambitionbox.com/interviews/larsen-and-toubro-infotech-interview-questions,--,https://www.ambitionbox.com/jobs/larsen-and-toubro-infotech-jobs,https://www.ambitionbox.com/photos/larsen-and-toubro-infotech-photos, 10k-50k Employees , 28 years old 
69,Wells Fargo,4.0,Financial Services , Public ,"Job Security, Work Life Balance, Company Culture",NA,5.4k,48.7k,https://www.ambitionbox.com/interviews/wells-fargo-interview-questions,1,https://www.ambitionbox.com/jobs/wells-fargo-jobs,https://www.ambitionbox.com/photos/wells-fargo-photos, 10k-50k Employees , 172 years old 
70,Zydus Lifesciences,4.2,Pharma , Public ,"Skill Development / Learning, Job Security, Salary & Benefits",NA,5.4k,18.2k,https://www.ambitionbox.com/interviews/zydus-lifesciences-interview-questions,136,https://www.ambitionbox.com/jobs/zydus-lifesciences-jobs,https://www.ambitionbox.com/photos/zydus-lifesciences-photos, 10k-50k Employees , 72 years old 
71,Delhivery,4.0,Logistics , Fortune India 500 ,Skill Development / Learning,Promotions / Appraisal,5.3k,17.6k,https://www.ambitionbox.com/interviews/delhivery-interview-questions,111,https://www.ambitionbox.com/jobs/delhivery-jobs,https://www.ambitionbox.com/photos/delhivery-photos, 10k-50k Employees , 13 years old 
72,Amazon Development Centre India,4.2,Internet , Hyderabad / Secunderabad +85 more,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,5.4k,29.4k,https://www.ambitionbox.com/interviews/amazon-development-centre-india-pvt-ltd-interview-questions,10,https://www.ambitionbox.com/jobs/amazon-development-centre-india-pvt-ltd-jobs,https://www.ambitionbox.com/photos/amazon-development-centre-india-pvt-ltd-photos, 10k-50k Employees , 10k-50k Employees 
73,L&T Construction,4.1,Engineering & Construction , Public ,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance,5.1k,14.8k,https://www.ambitionbox.com/interviews/l-and-t-construction-interview-questions,--,https://www.ambitionbox.com/jobs/l-and-t-construction-jobs,https://www.ambitionbox.com/photos/l-and-t-construction-photos, 5k-10k Employees , 80 years old 
74,JPMorgan Chase & Co.,4.1,Financial Services , Public ,"Job Security, Company Culture, Skill Development / Learning",NA,5.2k,73k,https://www.ambitionbox.com/interviews/jpmorgan-chase-and-co-dot-interview-questions,320,https://www.ambitionbox.com/jobs/jpmorgan-chase-and-co-dot-jobs,https://www.ambitionbox.com/photos/jpmorgan-chase-and-co-dot-photos, 50k-1 Lakh Employees , 56 years old 
75,Sun Pharmaceutical Industries,4.1,Pharma , Public ,"Job Security, Salary & Benefits, Skill Development / Learning",NA,4.8k,20.7k,https://www.ambitionbox.com/interviews/sun-pharmaceutical-industries-interview-questions,101,https://www.ambitionbox.com/jobs/sun-pharmaceutical-industries-jobs,https://www.ambitionbox.com/photos/sun-pharmaceutical-industries-photos, 10k-50k Employees , 41 years old 
76,Hindustan Unilever,4.3,FMCG , Public ,"Skill Development / Learning, Job Security, Company Culture",NA,4.9k,20.9k,https://www.ambitionbox.com/interviews/hindustan-unilever-interview-questions,23,https://www.ambitionbox.com/jobs/hindustan-unilever-jobs,https://www.ambitionbox.com/photos/hindustan-unilever-photos, 10k-50k Employees , 152 years old 
77,FIS,3.9,FinTech , 56 years old ,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,4.9k,39.4k,https://www.ambitionbox.com/interviews/fidelity-national-information-services-interview-questions,63,https://www.ambitionbox.com/jobs/fidelity-national-information-services-jobs,https://www.ambitionbox.com/photos/fidelity-national-information-services-photos, 10k-50k Employees , 56 years old 
78,ITC,4.0,FMCG , Public ,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.9k,22.8k,https://www.ambitionbox.com/interviews/itc-interview-questions,45,https://www.ambitionbox.com/jobs/itc-jobs,https://www.ambitionbox.com/photos/itc-photos, 10k-50k Employees , 114 years old 
79,Udaan,4.0,1k-5k Employees , 8 years old ,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",4.8k,19k,https://www.ambitionbox.com/interviews/udaan-interview-questions,13,https://www.ambitionbox.com/jobs/udaan-jobs,https://www.ambitionbox.com/photos/udaan-photos, Indian Unicorn , 8 years old 
80,Hexaware Technologies,3.6,IT Services & Consulting , Fortune India 500 ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,4.9k,46.3k,https://www.ambitionbox.com/interviews/hexaware-technologies-interview-questions,656,https://www.ambitionbox.com/jobs/hexaware-technologies-jobs,https://www.ambitionbox.com/photos/hexaware-technologies-photos, 10k-50k Employees , 34 years old 
81,IIFL Finance,4.0,NBFC , Public ,"Salary & Benefits, Work Life Balance, Skill Development / Learning",NA,4.8k,15.5k,https://www.ambitionbox.com/interviews/iifl-interview-questions,33,https://www.ambitionbox.com/jobs/iifl-jobs,https://www.ambitionbox.com/photos/iifl-photos, 10k-50k Employees , 29 years old 
